qid,subject_id,answer,majority_answer,agrees_with_majority,same_answer_count,total_raters,percent_agreement,pairwise_agreement
664,0756a860_20251124_133827,B,B,True,7,15,0.4666666666666667,0.4
664,13f54aa2_20251204_125847,C,B,False,1,15,0.4666666666666667,0.4
664,218b2db5_20251126_084136,A,B,False,7,15,0.4666666666666667,0.4
664,29127478_20251202_100107,A,B,False,7,15,0.4666666666666667,0.4
664,2e184452_20251205_141511,B,B,True,7,15,0.4666666666666667,0.4
664,3238ebaf_20251126_140604,A,B,False,7,15,0.4666666666666667,0.4
664,3a36e078_20251205_225238,B,B,True,7,15,0.4666666666666667,0.4
664,5d843d39_20251127_141921,B,B,True,7,15,0.4666666666666667,0.4
664,6b3a1a8d_20251125_135446,B,B,True,7,15,0.4666666666666667,0.4
664,73df43f3_20251204_210431,B,B,True,7,15,0.4666666666666667,0.4
664,b9b2cb98_20251127_193952,A,B,False,7,15,0.4666666666666667,0.4
664,d1548553_20251125_202324,A,B,False,7,15,0.4666666666666667,0.4
664,dd0f9986_20251128_222537,A,B,False,7,15,0.4666666666666667,0.4
664,f616d5c7_20251203_212223,A,B,False,7,15,0.4666666666666667,0.4
664,14d2420f_20251208_150302,B,B,True,7,15,0.4666666666666667,0.4
6,0756a860_20251124_133827,B,C,False,4,15,0.3333333333333333,0.21904761904761905
6,13f54aa2_20251204_125847,D,C,False,2,15,0.3333333333333333,0.21904761904761905
6,218b2db5_20251126_084136,C,C,True,5,15,0.3333333333333333,0.21904761904761905
6,29127478_20251202_100107,B,C,False,4,15,0.3333333333333333,0.21904761904761905
6,2e184452_20251205_141511,D,C,False,2,15,0.3333333333333333,0.21904761904761905
6,3238ebaf_20251126_140604,C,C,True,5,15,0.3333333333333333,0.21904761904761905
6,3a36e078_20251205_225238,A,C,False,4,15,0.3333333333333333,0.21904761904761905
6,5d843d39_20251127_141921,C,C,True,5,15,0.3333333333333333,0.21904761904761905
6,6b3a1a8d_20251125_135446,A,C,False,4,15,0.3333333333333333,0.21904761904761905
6,73df43f3_20251204_210431,A,C,False,4,15,0.3333333333333333,0.21904761904761905
6,b9b2cb98_20251127_193952,C,C,True,5,15,0.3333333333333333,0.21904761904761905
6,d1548553_20251125_202324,A,C,False,4,15,0.3333333333333333,0.21904761904761905
6,dd0f9986_20251128_222537,C,C,True,5,15,0.3333333333333333,0.21904761904761905
6,f616d5c7_20251203_212223,B,C,False,4,15,0.3333333333333333,0.21904761904761905
6,14d2420f_20251208_150302,B,C,False,4,15,0.3333333333333333,0.21904761904761905
662,0756a860_20251124_133827,D,B,False,6,15,0.4666666666666667,0.3523809523809524
662,13f54aa2_20251204_125847,D,B,False,6,15,0.4666666666666667,0.3523809523809524
662,218b2db5_20251126_084136,B,B,True,7,15,0.4666666666666667,0.3523809523809524
662,29127478_20251202_100107,A,B,False,2,15,0.4666666666666667,0.3523809523809524
662,2e184452_20251205_141511,B,B,True,7,15,0.4666666666666667,0.3523809523809524
662,3238ebaf_20251126_140604,B,B,True,7,15,0.4666666666666667,0.3523809523809524
662,3a36e078_20251205_225238,D,B,False,6,15,0.4666666666666667,0.3523809523809524
662,5d843d39_20251127_141921,B,B,True,7,15,0.4666666666666667,0.3523809523809524
662,6b3a1a8d_20251125_135446,B,B,True,7,15,0.4666666666666667,0.3523809523809524
662,73df43f3_20251204_210431,B,B,True,7,15,0.4666666666666667,0.3523809523809524
662,b9b2cb98_20251127_193952,D,B,False,6,15,0.4666666666666667,0.3523809523809524
