,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
5907,548,418275003,yes,0.75,3.36,2025-11-24T14:16:57.848445,0756a860_20251124_133827,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5908,548,418275003,yes,0.75,4.4,2025-12-10T23:56:12.313087,02f952bb_20251210_230336,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5909,548,418275003,yes,0.05,4.21,2025-12-08T16:33:11.941961,14d2420f_20251208_150302,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5911,548,418275003,yes,0.75,4.01,2025-12-02T11:02:01.891461,29127478_20251202_100107,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5912,548,418275003,yes,0.75,2.2,2025-11-26T09:20:47.486509,218b2db5_20251126_084136,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5913,548,418275003,Yes,0.25,2.18,2025-11-26T15:44:11.263876,3238ebaf_20251126_140604,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5914,548,418275003,yes,1.0,4.41,2025-12-05T23:51:14.856386,3a36e078_20251205_225238,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5915,548,418275003,yes,0.5,3.27,2025-11-27T15:12:20.503966,5d843d39_20251127_141921,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5917,548,418275003,yes,0.5,2.93,2025-11-25T15:02:09.338418,6b3a1a8d_20251125_135446,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5923,548,418275003,yes,0.25,4.38,2025-11-27T20:25:12.928294,b9b2cb98_20251127_193952,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5921,548,418275003,yes,0.75,1.51,2025-12-10T20:04:05.298295,825ff3e9_20251210_192335,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5920,548,418275003,yes,0.75,3.04,2025-12-09T17:31:49.134833,9c5d09f3_20251209_121033,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5927,548,418275003,yes,0.5,10.41,2025-12-05T16:01:56.918887,2e184452_20251205_141511_cleaned,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
5924,548,418275003,yes,1.0,3.9,2025-11-28T23:16:36.222954,dd0f9986_20251128_222537,Question: Is the bottle half full? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is the,Yes/No,yes
