,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
1029,316,11241003,Yes,1.0,4.5,2025-11-24T13:59:28.397916,0756a860_20251124_133827,Is this enough food for more than two people?,yes/no,그렇다,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1030,316,11241003,yes,1.0,4.03,2025-12-10T23:30:30.421725,02f952bb_20251210_230336,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1033,316,11241003,yes,1.0,3.75,2025-12-02T10:41:56.721446,29127478_20251202_100107,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1034,316,11241003,yes,1.0,2.04,2025-11-26T09:07:55.495478,218b2db5_20251126_084136,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1049,316,11241003,yes,0.5,8.24,2025-12-05T15:38:56.177976,2e184452_20251205_141511_cleaned,Is this enough food for more than two people?,yes/no,,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1035,316,11241003,Yes,0.25,4.87,2025-11-26T15:13:58.540417,3238ebaf_20251126_140604,Is this enough food for more than two people?,yes/no,,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1036,316,11241003,yes,1.0,2.97,2025-12-05T23:31:51.725310,3a36e078_20251205_225238,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1037,316,11241003,yes,0.5,2.44,2025-11-27T14:47:07.170678,5d843d39_20251127_141921,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1039,316,11241003,yes,0.25,3.59,2025-11-25T14:40:10.864951,6b3a1a8d_20251125_135446,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1040,316,11241003,yes,0.75,4.25,2025-12-04T21:48:26.868202,73df43f3_20251204_210431,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1041,316,11241003,Yes,1.0,6.13,2025-12-13T14:23:22.340826,74d408e5_20251213_134035,Is this enough food for more than two people?,yes/no,예,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1042,316,11241003,Yes,0.75,4.75,2025-12-09T15:10:27.704121,9c5d09f3_20251209_121033,Is this enough food for more than two people?,yes/no,예,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1048,316,11241003,yes,0.75,1.79,2025-11-25T21:02:07.109641,d1548553_20251125_202324,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1043,316,11241003,yes,0.75,6.16,2025-12-10T19:48:12.446498,825ff3e9_20251210_192335,Is this enough food for more than two people?,yes/no,,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1045,316,11241003,yes,0.25,3.98,2025-11-27T20:06:17.350945,b9b2cb98_20251127_193952,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1047,316,11241003,yes,0.75,3.72,2025-12-03T22:13:07.996354,f616d5c7_20251203_212223,Is this enough food for more than two people?,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes
1031,316,11241003,"Yes, it's for two servings.",0.5,8.71,2025-12-08T16:06:39.324786,14d2420f_20251208_150302,Is this enough food for more than two people?,yes/no,네 2인분 이에요,"Yes, it's for two servings.",yes its for two servings,0.0,0.20138269662857056,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,yes its for 2 servings
1038,316,11241003,no,0.25,5.71,2025-12-11T00:47:59.463988,60de6bd6_20251210_170035,Is this enough food for more than two people?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this,Yes/No,no
