qid,participant_id,answer,avg_similarity_to_others,min_similarity,max_similarity,question_mean_similarity,num_raters,accuracy
418297001,02f952bb_20251210_230336,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,3a36e078_20251205_225238,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,5d843d39_20251127_141921,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,6b3a1a8d_20251125_135446,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,9c5d09f3_20251209_121033,Yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,13f54aa2_20251204_125847,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,14d2420f_20251208_150302,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,60de6bd6_20251210_170035,no,0.7423082652844881,0.3664579391479492,1.0,0.873588127838938,20,1.0
418297001,73df43f3_20251204_210431,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,218b2db5_20251126_084136,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,0756a860_20251124_133827,No,0.7423082652844881,0.3664579391479492,1.0,0.873588127838938,20,1.0
418297001,825ff3e9_20251210_192335,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,3238ebaf_20251126_140604,Yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,29127478_20251202_100107,no,0.7423082652844881,0.3664579391479492,1.0,0.873588127838938,20,1.0
418297001,a5909497_20251211_232822,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,b9b2cb98_20251127_193952,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,d1548553_20251125_202324,Yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,dd0f9986_20251128_222537,Yes 53,0.40892352555927475,0.3664579391479492,0.4168858230113983,0.873588127838938,20,0.0
418297001,f616d5c7_20251203_212223,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
418297001,2e184452_20251205_141511_cleaned,yes,0.9272446397103762,0.4168858230113983,1.0,0.873588127838938,20,0.0
444302001,02f952bb_20251210_230336,8,0.6567399093979284,0.281438410282135,0.8123472929000854,0.7164729753607199,20,0.0
444302001,3a36e078_20251205_225238,1,0.7446674092819816,0.19651231169700623,1.0,0.7164729753607199,20,0.0
444302001,5d843d39_20251127_141921,1,0.7446674092819816,0.19651231169700623,1.0,0.7164729753607199,20,0.0
444302001,6b3a1a8d_20251125_135446,1,0.7446674092819816,0.19651231169700623,1.0,0.7164729753607199,20,0.0
444302001,9c5d09f3_20251209_121033,3,0.7905376804502386,0.23847460746765137,1.0,0.7164729753607199,20,0.0
444302001,13f54aa2_20251204_125847,3,0.7905376804502386,0.23847460746765137,1.0,0.7164729753607199,20,0.0
444302001,14d2420f_20251208_150302,9,0.6230989004436293,0.3433579206466675,0.7947709560394287,0.7164729753607199,20,0.0
444302001,60de6bd6_20251210_170035,2,0.7752427945011541,0.17676416039466858,1.0,0.7164729753607199,20,0.0
444302001,73df43f3_20251204_210431,2,0.7752427945011541,0.17676416039466858,1.0,0.7164729753607199,20,0.0
444302001,218b2db5_20251126_084136,2,0.7752427945011541,0.17676416039466858,1.0,0.7164729753607199,20,0.0
444302001,0756a860_20251124_133827,7,0.7011843888383162,0.31638389825820923,1.0,0.7164729753607199,20,0.0
444302001,825ff3e9_20251210_192335,2,0.7752427945011541,0.17676416039466858,1.0,0.7164729753607199,20,0.0
444302001,3238ebaf_20251126_140604,7,0.7011843888383162,0.31638389825820923,1.0,0.7164729753607199,20,0.0
444302001,29127478_20251202_100107,3,0.7905376804502386,0.23847460746765137,1.0,0.7164729753607199,20,0.0
444302001,a5909497_20251211_232822,There are no numbers.,0.2324065487635763,0.17676416039466858,0.3433579206466675,0.7164729753607199,20,0.0
444302001,b9b2cb98_20251127_193952,2,0.7752427945011541,0.17676416039466858,1.0,0.7164729753607199,20,0.0
444302001,d1548553_20251125_202324,3,0.7905376804502386,0.23847460746765137,1.0,0.7164729753607199,20,0.0
444302001,dd0f9986_20251128_222537,1,0.7446674092819816,0.19651231169700623,1.0,0.7164729753607199,20,0.0
444302001,f616d5c7_20251203_212223,5,0.698905519748989,0.2671959102153778,1.0,0.7164729753607199,20,0.0
444302001,2e184452_20251205_141511_cleaned,5,0.698905519748989,0.2671959102153778,1.0,0.7164729753607199,20,0.0
244019002,02f952bb_20251210_230336,no,0.8484350129177696,0.7335874438285828,1.0,0.8122359125237717,20,0.0
244019002,3a36e078_20251205_225238,yes,0.8046861698752955,0.6050844192504883,1.0,0.8122359125237717,20,1.0
244019002,5d843d39_20251127_141921,no,0.8484350129177696,0.7335874438285828,1.0,0.8122359125237717,20,0.0
244019002,6b3a1a8d_20251125_135446,No.,0.7549371970327277,0.6050844192504883,1.0,0.8122359125237717,20,0.0
244019002,9c5d09f3_20251209_121033,Yes,0.8046861698752955,0.6050844192504883,1.0,0.8122359125237717,20,1.0
244019002,13f54aa2_20251204_125847,yes,0.8046861698752955,0.6050844192504883,1.0,0.8122359125237717,20,1.0
244019002,14d2420f_20251208_150302,No.,0.7549371970327277,0.6050844192504883,1.0,0.8122359125237717,20,0.0
244019002,60de6bd6_20251210_170035,no,0.8484350129177696,0.7335874438285828,1.0,0.8122359125237717,20,0.0
244019002,73df43f3_20251204_210431,yes,0.8046861698752955,0.6050844192504883,1.0,0.8122359125237717,20,1.0
244019002,218b2db5_20251126_084136,yes,0.8046861698752955,0.6050844192504883,1.0,0.8122359125237717,20,1.0
