qid,participant_id,choice,answer,correct,avg_agreement_with_others,num_agree,num_disagree,question_mean_agreement,num_raters
664,02f952bb_20251210_230336,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,3a36e078_20251205_225238,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,5d843d39_20251127_141921,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,6b3a1a8d_20251125_135446,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,9c5d09f3_20251209_121033,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,13f54aa2_20251204_125847,C,3,False,0.0,0,19,0.42631578947368415,20
664,14d2420f_20251208_150302,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,60de6bd6_20251210_170035,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,73df43f3_20251204_210431,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,218b2db5_20251126_084136,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,0756a860_20251124_133827,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,825ff3e9_20251210_192335,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,3238ebaf_20251126_140604,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,29127478_20251202_100107,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,a5909497_20251211_232822,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
664,b9b2cb98_20251127_193952,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,d1548553_20251125_202324,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,dd0f9986_20251128_222537,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,f616d5c7_20251203_212223,A,1,False,0.47368421052631576,9,10,0.42631578947368415,20
664,2e184452_20251205_141511_cleaned,B,2,True,0.42105263157894735,8,11,0.42631578947368415,20
6,02f952bb_20251210_230336,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,3a36e078_20251205_225238,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,5d843d39_20251127_141921,C,3,False,0.21052631578947367,4,15,0.24736842105263154,20
6,6b3a1a8d_20251125_135446,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,9c5d09f3_20251209_121033,B,2,True,0.2631578947368421,5,14,0.24736842105263154,20
6,13f54aa2_20251204_125847,D,4,False,0.05263157894736842,1,18,0.24736842105263154,20
6,14d2420f_20251208_150302,B,2,True,0.2631578947368421,5,14,0.24736842105263154,20
6,60de6bd6_20251210_170035,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,73df43f3_20251204_210431,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,218b2db5_20251126_084136,C,3,False,0.21052631578947367,4,15,0.24736842105263154,20
6,0756a860_20251124_133827,B,2,True,0.2631578947368421,5,14,0.24736842105263154,20
6,825ff3e9_20251210_192335,B,2,True,0.2631578947368421,5,14,0.24736842105263154,20
6,3238ebaf_20251126_140604,C,3,False,0.21052631578947367,4,15,0.24736842105263154,20
6,29127478_20251202_100107,B,2,True,0.2631578947368421,5,14,0.24736842105263154,20
6,a5909497_20251211_232822,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,b9b2cb98_20251127_193952,C,3,False,0.21052631578947367,4,15,0.24736842105263154,20
6,d1548553_20251125_202324,A,1,False,0.3157894736842105,6,13,0.24736842105263154,20
6,dd0f9986_20251128_222537,C,3,False,0.21052631578947367,4,15,0.24736842105263154,20
6,f616d5c7_20251203_212223,B,2,True,0.2631578947368421,5,14,0.24736842105263154,20
6,2e184452_20251205_141511_cleaned,D,4,False,0.05263157894736842,1,18,0.24736842105263154,20
